orden,rama,ocupacion,tareas,tecno
80,FABRICA DE INDUMENTARIA TEXTIL,OFICIAL CALIFICADA EN COSTURA,COSTURA - COSIA PRENDAS,MAQUINA INDUSTRIAL DE COSTURA
84,CASA PARTICULAR,EMPLEADA DOMESTICA,"TODAS LAS TAREAS DOMESTICAS, LIMPIAR, PLANCHAS, COCINAR, CUIDAR NIÑOS","LAVARROPAS, PLANCHA, ENCERADORA, MICROONDAS, ESCOBA, LAMPAZO, SECADOR"
112,ESTUDIO JURIDICO,ABOGADA ESPECIALISTA EN JUICIOS DE SUCESION,JUICIOS DE SUCESION,"NOTEBOOK, LAPICERAS, CARPETAS, HOJAS"
116,DOMICILIO PARTICULAR,VENDEDORA DE PRODUCTOS POR CATALOGO,VENTA POR CATALOGO DE JOYAS,"CATALOGO, LAPICERAS, HOJAS, TELEFONO"
117,VETERINARIA INDEPENDIENTE,MEDICO VETERINARIO INDEPENDIENTE,ATENCION MEDICA DE GRANDES ANIMALES. CIRUGÃAS,"MEDICAMENTOS, MATERIAL QUIRURGICO"
126,PANADERIA PRODUCCION Y VENTA DE PANIFICADOS,PANADERO,"ELABORACION DE PANES, FACTURAS, TORTAS, ETC","HARINA, AGUA, LEVADURA, ETC"
128,ACOMPAÑAMIENTO DE ADULTO MAYOR ENFERMERA,ACOMPAÑANTE GERONTOLOGICO,"SE PREPARA LA COMIDA, LA ACUESTA, ETC",NADA
131,,DOMESTICA,"LIMPIEZA, COCINA","LIMPIADORES, BALDES, CUBIERTOS"
132,CASAS PARTICULARES,EMPLEADA DOMESTICA,LIMPIEZA SOLAMENTE,"ESCOBA, SECADOR, PLUMERO, LAMPAZO, MANGUERA"
136,MATADERO MUNICIPAL,EMPLEADO PUBLICO DEL MATADERO - RECIBE LOS ANIMALES PARA CORRALERO,PORTERO - INTERVENCION DE CORRALERO,BIROME - REMITOS
138,MUNICIPIO - SECCION LIMPIEZA VIA PUBLICA,LIMPIEZA URBANA CON PASANTIA,BARRER Y LIMPIAR LA CALLE Y VIA PUBLICA,PALA - ESCOBA - CARRITO
143,TRANSPORTE PUBLICO DE PASAJEROS DE LARGA DISTANCIA,CHOFER,CONDUCIR COLECTIVOS DE LARGA DISTANCIA,COLECTIVO DE LARGA DISTANCIA
148,ESCUELA DE ENSEÑANZA PRIMARIA Y SECUNDARIA,DOCENTE,ENSEÑANZA DE CONTENIDOS BASICOS DE LENGUA Y MANTENIMIENTO,"PIZARRON, TIZAS, MATERIALES DIDACTICOS VARIOS, EQUIPO DE LABORATORIO"
160,"POLICIA, BRINDA SEGURIDAD A LOS CIUDADANOS",POLICIA,"RECORRIDOS EN MOTO, SEGÃšN LA ZONA DE TURNO","MOTO, RADIO, EQUIPO DE PROTECCION, UNIFORME"
165,,EMPLEADA DOMESTICA,LIMPIABA LA CASA Y CUIDABA A UN ENFERMERO,"LA AGENDA DE PASTILLAS, TELEFONO, ARTICULOS DE LIMPIEZA"
168,MUNICIPALIDAD DE TAFI VIEJO,EMPLEADA MUNICIPAL,LIMPIEZA EN LOS LUGARES QUE LA MANDAN,"ESCOBA, PALA, BOLSA"
172,ESTABLECIMIENTO ESCOLAR PRIMARIO,PERSONAL AUXILIAR,LIMPIEZA Y MANTENIMIENTO DE LA ESCUELA,"DELANTAL, GUANTES, ESCOBA, ESCOBILLON, DETERGENTES"
188,CASA DE FAMILIA,ALBAÑIL,"CONSTRUYE HABITACIONES, REVOQUE, COLOCACION DE REVESTIMIENTOS","MEZCLADORA, CAL, GUANTES, PALA, ESPATULA"
189,,EMPLEADA DOMESTICA,TAREAS DE LIMPIEZA Y MANTENIMIENTO DE LA CASA,"ESCOBA, ESCOBILLON, DETERGENTE, LAVANDINA"
190,CASA DE FAMILIA,ALBAÑIL,"***COLOCA CERAMICO, PICA PAREDES, REVOCA, COLOCA","***CERAMICO, CORTADORA DE, PINCELES, MARTILLO"
200,SUPERMERCADO CAPO VENTA DE MERCADERIAS,REPOSITOR,REPONIA Y ACOMODABA LA MERCADERIA EN LAS GONDOLAS,UN CARRO PARA TRANSPORTAR MERCADERIA
205,ES UN CALL CENTER,OPERADOR TELEFONICO,"ATENCION DE LLAMADAS, DA INSTRUCCIONES A LA GENTE","COMPUTADORA, AURICULARES, LAPICERA, FOTOCOPIAS"
208,NEGOCIO Y DESPENSA EN LA VIVIENDA,VENDEDOR,VENDER LA MERCADERIA Y GOLOSINA,"CUADERNO REGISTRADO, CALCULADORA"
211,TAXISTA,TAXISTA,"CONDUCE EL AUTOMOVIL, LIMPIA EL VEHICULO",AUTOMOVIL
212,SANATORIO REGIONAL,ENFERMERA,"CURACIONES, PONIA VACUNAS, INYECCIONES","GASA, AGUJA, DESINFECTANTE, ALCOHOL"
215,MERCERIA Y REGALERIA,VENDEDORA,"ATENCION AL PUBLICO, COBRAR, ENVOLVER REGALOS","PAPEL, CINTA, TIJERA"
216,TRANSPORTE,CHOFER DE TAXI,"CONDUCE EL VEHICULO, LE CARGA GAS",AUTOMOVIL
219,TIENDA DE VENTA DE ROPA,EMPLEADO DE COMERCIO,VENDER LA INDUMENTARIA,ESCALERA PARA ACOMODAR LA ROPA
224,SEGURIDAD,POLICIA PROVINCIAL,TAREAS ADMINISTRATIVAS,"LAPICERA, PAPEL, MAQUINA DE ESCRIBIR"
226,CHOFER DE AUTO REMIS,CHOFER,TRASLADO DE PERSONAS,"AUTO, BILLETERA, PAPELES AL DIA"
229,COMPLEJO OJO DE AGUA,EMPLEADO DE MANTENIMIENTO,LIMPIA Y CORTA EL PASTO EN LAS CANCHAS,"UNIFORME, CORTADORA DE CESPED, RASTRILLO"
234,SALUD,ADMINISTRATIVO EN EL INSTITUTO DE CARDIOLOGIA,"REALIZA FACTURAS, ORGANIZA CARPETAS DE LAS OBRAS SOCIALES","PAPEL, LAPICERA, COMPUTADORA, ARTICULOS DE LIBRERÃA"
241,ASISTENCIA PUBLICA DE SALUD,CHOFER DE AMBULANCIA,CONDUCE LA AMBULANCIA,"AUTOMOVIL, RADIO"
242,COMERCIANTE,VENDEDORA,"VENDE LOS ARTICULOS QUE HAY EN EL NEGOCIO, COBRA","CAJA REGISTRADORA, LAPICERA, PAPEL, CORTADORA DE FIAMBRE"
243,SERVICIO DOMESTICO,EMPLEADA DOMESTICA,LIMPIEZA,"ARTICULOS DE LIMPIEZA, ESCOBA, BALDE, COCINA"
256,CAMIONERO,CHOFER,TRANSPORTAR CEREALES,"CAMION, PLANILLAS DE REGISTRO"
258,SERVICIO DOMESTICO,EMPLEADA DOMESTICA,LIMPIAR Y COCINAR,"ESCOBA, UTENSILIOS, OLLAS"
259,LAVANDERIA,EMPLEADA,PLANCHA LA ROPA,"PLANCHA, UNIFORME"
261,SIPROSA - MATERNIDAD,TECNICA EN IDENTIFICACION DEL RECIEN NACIDO,CONTROLAR Y CUIDAR A LOS BEBES,"TERMOMETRO, MANTAS, MAMADERA, CHUPETE"
270,CAMIONERO INDEPENDIENTE,CAMIONERO,VIAJES / CONDUCIR CAMIONES,CAMION
284,EMPLEADA DE MAESTRANZA EN SANIDAD,EMPLEADA,TAREAS DE LIMPIEZAS,"BALDE, AGUA, TRAPOS, ESCOBA, ETC"
287,TALLER MECANICO,MECANICO,ARREGLAR LOS AUTOS,"HERRAMIENTAS, UNIFORME"
289,TALLER MECANICO,AYUDANTE DE MECANICO,ARREGLAR LOS AUTOS,"HERRAMIENTAS, UNIFORME"
290,EDUCACION PUBLICA - ESCUELA PRIMARIA PUBLICA,DOCENTE DE PRIMARIA EN ESCUELA RURAL,"REALIZA LAS CLASES, REALIZA LA PLANIFICACION, CORRIGE LAS ACTIVIDADES","PAPEL, LAPICERA, AFICHES, MARCADORES"
292,INSTALACION Y REPARACION DE INSTALACIONES DE GAS,GASISTA,"INSTALA Y REPARA CALEFON, COCINA. REALIZA CONEXIONES DE GAS","LLAVE STILSON, DESTORNILLADOR, LLAVE FIJA"
304,CARNICERIA,CARNICERIA,VENDE CARNE,"HELADERAS, FREEZER, CUCHILLOS"
307,COMERCIO DE VENTA DE ALIMENTOS Y ARTIC. VARIOS,VENDEDOR,ATENCION AL CLIENTE,"BALANZA, CAJA REGISTRADORA"
308,SERVICIO DOMESTICO,EMPLEADA DOMESTICA,"LIMPIEZA, PLANCHAR ROPA, COCINAR","ARTICULOS DE LIMPIEZA, PLANCHA, COCINA, OLLAS"
315,CONSTRUCCION,ALBAÑIL,"REVOQUE, CONTRAPISO, CERAMICOS","CUCHARA, BALDE, REGLA, FRATACHO"
320,CORTADORA DE LADRILLOS,CORTA LADRILLOS,"AMASADO DEL BARRO, QUEMA DE LADRILLO","CARRETILLA, PALA, ZARANDA"
326,COMERCIO,ADMINISTRATIVO,LLEVA LAS CUENTAS,"PAPELES (HOJAS), LAPICERA"
328,BAR - RESTAURANT,MOZA,LLEVA LAS COMIDAS A LOS CLIENTES,"UNIFORME, BANDEJA"
330,VENTA DE FRUTAS Y VERDURAS,VENDEDORA EN UNA VERDULERIA,"ATENCION AL PUBLICO, ACOMODAR VERDURAS, PESAR","BALANZA, BOLSAS, CAJONES"
331,EMPLEADO PUBLICO,GESTOR DE TRAMITES EN ORGANISMOS PUBLICOS,"TRAMITES, LLENAR FORMULARIOS","LAPICERA, PAPEL"
332,CONSTRUCCION,ALBAÑIL,"CONSTRUCCION, REPARACIONES EN CASAS",
336,CASA DE COMIDAS - GASTRONOMIA,AYUDANTE DE COCINA,"PICAR CARNE, VERDURAS, PREPARAR MASA, HORNEAR","CUCHILLO, TABLA, RECIPIENTE CONTENEDOR, OLLAS"
339,CASA DE COMIDA,COCINERA,COCINA LOS ALIMENTOS,"OLLAS, CUCHARAS, UTENSILIOS DE COCINA"
343,CASA DE COMIDA,AYUDANTE DE COCINA,"PICAR CARNE Y VERDURA, PREPARAR MASA, ESTIRAR MASA","CUCHILLO, TABLA, OLLAS"
346,ESTUDIO JURIDICO,ADMINISTRATIVO,"REALIZABA LOS ESCRITOS NECESARIOS, ATENDIA A LOS CLIENTES","LAPICERA, PAPEL, ARTICULOS DE LIBRERÃA"
363,COMERCIANTE DE ROPA,VENDEDORA,VENDE ROPA,"VEHICULO, VALIJA DONDE TRASLADA LA ROPA"
387,SEGURIDAD,VIGILANCIA PRIVADA,"VIGILANCIA, MONITOREO",COMUNICACIONES
392,CONSTRUCTORA,MEDIO OFICIAL ALBAÑIL,"LEVANTA PAREDES, PISO, TECHO","PALA, HORMIGONERA, TALADRO"
413,EMPRESA CONSTRUCTORA,ALBAÑIL,"LEVANTABA PARED, PISO, LOSA","HORMIGONERA, TALADRO, PALA, HERRAMIENTAS DE CONSTRUCCION"
428,CASA DE FAMILIA. CUIDADO DE NIÑOS,NIÑERA,CUIDA A UN NIÑO DE TRES AÑOS,NO UTILIZA
429,CONSTRUCCION EN CASAS PARTICULARES,ALBAÑIL,TAREAS PROPIAS DE LA CONSTRUCCION (CASAS),"MEZCLADORA, HERRAMIENTAS DE TRABAJO"
430,VENTA DE INDUMENTARIA,COMERCIANTE AMBULANTE DE ROPA E INDUMENTARIA,VENDE ROPA A DOMICILIO,NO UTILIZA
434,NS/NR,,,
435,COMERCIO DE ROPA,ENCARGADA DE ATENCION AL PUBLICO,ATENCION Y VENTA AL PUBLICO,
436,ES CAMIONERO PARTICULAR,CHOFER DE CAMION,TRANSPORTE DE CARGA. MANEJA EL CAMION,
439,CASA DE FAMILIA,ACOMPAÑANTE TERAPEUTICO,CUIDADO DE UNA PERSONA MAYOR,NO UTILIZA
443,COMPLEJO TURISTICO,MUCAMA,MANTENIMIENTO,
445,CONSTRUCCION,ALBAÑIL,CONSTRUCCION DE CASAS,"MEZCLADORA, HERRAMIENTAS DE TRABAJO"
450,PROCESAN EL MINERAL MICA,SEGURIDAD,VIGILA LA PLANTA. MONITEOREA LAS ALARMAS,NO UTILIZA
453,EDUCACION,PROFESORA DE MATEMATICAS,DICTA CLASES,
459,MAYORISTA ARTICULOS VARIOS,PREVENTISTA,"VIAJANTE, VENTA A LOCALES COMERCIALES DEL INTERIOR","CARPETA CON FOLLETERIA, CAMIONETA"
460,SUPERMERCADO,CAJERA,"COBROS, ARQUEOS DE CAJAS","CAJA REGISTRADORA, ETIQUETADORA"
463,"EDITORIAL, VENTA DE LIBROS",PROMOTOR DE EDITORIAL,"VENTA, VISITA A COLEGIOS Y ESCUELA, TAREAS ADMINISTRATIVAS",
466,HOSPITAL,OBSTETRA,RECIBIR A LOS NIÑOS. ATENCION A LA MADRE,"INSTRUMENTAL, TIJERA, EPICIO"
467,TRABAJO DE CAMPO,CHOFER,"MANEJA CAMIONES, LAVA LOS CAMIONES, MANTENIMIENTO","PLUMERO, DESTORNILLADORES, GAMUZA, REJILLA"
476,ALBAÑILERIA - PINTURA,ALBAÑIL - PINTURA,CHANGAS DE ALBAÑILERIA Y PINTURA DE CASA,"RODILLOS, PINTURAS, PALAS"
481,MOLIENDA DE MAIZ,CARGADOR DE CAMIONES,CARGAR CAMIONES CON MANGUERAS,MANGUERAS Y BOMBAS
489,VERDULERIA,VERDULERO,"VENDER, LIMPIAR, ACOMODAR FRUTAS Y VERDURAS","BALANZA, LAPICERA, CALCULADORA"
492,CASA DE FAMILIA,EMPLEADA DOMESTICA,LIMPIA LA CASA,"ESCOBA, ASPIRADORA, TRAPO DE PISO"
498,EDUCACION,DOCENTE,DOCENTE DE NIVEL SECUNDARIO,"TIZA, PIZARRON, PC, LIBROS, PROYECTOR"
521,MANTENIMIENTO DE CASAS,EMPL. SERVICIO DE MANTENIMIENTO DE HOGAR,"ARREGLOS VARIOS: PINTURA, ALBAÑILERIA, JARDINERIA","RODILLO, PINZAS, PALAS, MAQUINA DE CORTAR CESPED"
532,SERVICIO MECANICO DE AUTOS,MECANICO,ARREGLA AUTOS,"PINZAS, TUERCAS, FOSA, ETC"
536,EMPRESA DE ENERGIA (EDESAL),JEFE DE AREA,COORDINACION ADMINISTRATIVA,"PC, OFICINA"
542,EL ESTABLECIMIENTO DISTRIBUIA MEDICAMENTOS,FARMACEUTICA,FARMACIA CLINICA. SE OCUPA DE LA DISTRIBUCION DEL MEDICAMENTO (HOSPITAL),"COMPUTADORA, EQUIPAMIENTO PARA EL RESGUARDO DEL MEDICAMENTO"
545,OFICINA,ADMINISTRATIVO,ATENCION AL PUBLICO,
547,FABRICA AUTOPARTISTA,INSPECTOR DE CALIDAD EN RAYOS X,INSPECCIONA LA SANIDAD INTERNA DE LAS PIEZAS,MAQUINA DE RAYOS X
549,COMERCIO DE ROPA Y JOYAS,ATENCION AL PUBLICO,VENTA DE ROPA Y JOYAS,
556,CASA DE FAMILIA,NIÑERA Y ACOMPAÑAMIENTO DE ADULTO,"COCINAR, CUIDAR Y ACOMPAÑAR",COCINA UTENSILIO DE COCINA
558,FABRICA DE JUGUETES,OPERARIA,TRABAJO DE LINEA,
577,ELLAS HACEN (TRABAJO SOCIAL),BARRIDO LIMPIEZA DE CALLES,LIMPIAR CALLES,"ESCOBA, PALA, CEPILLO"
583,TRANSPORTE SEMIPUBLICO - TAXI,TAXISTA,CONDUCCION DE AUTOMOVIL,AUTOMOVIL
597,EMPRESA DE COSMETICOS,REVENDEDORA,"ENTREGA CATALOGOS, PRODUCTOS, COBRAR",CATALOGOS DE LA EMPRESA
601,"INMOBILIARIA, SERVICIO",MARTILLERO,ATENCION AL CLIENTE VENTA Y ALQUILER INMUE,COMPUTADORA CELULAR
611,SERVICIO ESTATAL,EMPLEADO,ATENCION PUBLICO,NO NECESITA
614,CONSULTORIO MEDICO,MEDICO,ATENCION DE PACIENTE,HERRAMIENTAS MEDICAS
615,EMPRESA DE TRANSPORTE,CONDUCTOR,CONDUCIR VEHICULO,COLECTIVO CAMIONETA TRAILER
616,MEDICA - HOSPITAL,MEDICA,ATENCION DE PACIENTE,INSTRUMENTAL MEDICO
622,REGISTRO CIVIL,ATENCION AL PUBLICO,"ATENCION AL PUBLICO, TRAMITES",COMPUTADORA
628,EMPRESA DE ELECTRICIDAD,ELECTRICISTA,REALIZA EL CABLEADO EN LAS FABRICAS,HERRAMIENTAS PARA ELECTRICIDAD
629,DEPOSITO DE VERDURAS,AYUDANTE DE CARGA Y DESCARGA,CARGA Y DESCARGA. CONTROL,
636,ESTABLECIMIENTO EDUCATIVO PRIVADO,PORTERO,RECEPCION DE LA GENTE,
647,PLAN ELLAS HACEN,,,
661,COMERCIO CARNICERIA,CARNICERO,ATENCION AL PUBLICO,CUCHILLOS BALANZAS ETC
667,HOTEL SECTOR GASTRONOMICO,COCINERA,COCINAR REPOSTERIA,HORNO HELADERA
671,CONSTRUCCION,ALBAÑIL,TAREAS DE CONSTRUCCION,"PALA, FRATACHO, HORMIGONERA, CUCHARA"
676,,EMPLEADA DOMESTICA,,
682,COMERCIANTE (TECNICO SEH),CASA DE TELEFONIA COMERCIANTE,ATENCION AL CLIENTE VENTA DE TELEFONIA CELULAR,CELULARES POSNET COMPUTADORA
687,CONSEJO DELIBERANTE,TAREA PARLAMENTARIA,"SECRETARIA, ADMINISTRACION DE DOCUMENTOS, REDACCION DE NOTAS","COMPUTADORAS, LAPICERA, LIBRO DE ACTAS"
699,INSTITUCION EDUCATIVA,DOCENTE,EJERCE LA DOCENCIA EN AL ESCOLARIZACION SECUNDARIA,"COMPUTADORAS, TELEFONO, LAPICERAS, LIBROS, HOJAS"
701,HOTEL,GASTRONOMIA,"COCINERO, MANIPULACION DE ALIMENTOS","OLLAS, ALIMENTOS, CUBIERTOS, SARTENES, PARRILLA"
702,PELUQUERIA A DOMICILIO,PELUQUERIA,"CORTAR EL CABELLO, REALIZAR TINTURAS","TIJERAS, GUANTES, PEINE, SECADOR, TOALLAS"
707,ARREGLO DE LAVARROPAS,TECNICO EN LAVARROPAS,"ARREGLAR, REVISAR, CAMBIAR REPUESTOS DE LAVARROPAS","PINZAS, CABLES, CINTAS, TORNILLOS, SIERRA"
719,PETROLEO,PERFORACION DE POZOS PETROLEROS,POCA DE POZO,EQUIPO DE PERFORACION
728,NIÑERA,NIÑERA,"CUIDA NIÑOS, LES DA DE COMER, CAMBIA PAÑALES","CARROS, MAMADERAS"
734,SERVICIO DOMESTICO,EMPL. DOMESTICA,LIMPIEZA,ELEMENTOS DE LIMPIEZA
736,ESCUELA PUBLICA,PROFESOR,ENSEÑAR,"CUADERNO, TIZAS, PIZARRON"
746,,AMA DE CASA,,
748,HACE TRABAJOS EN COMERCIO. VENTA DE ROPA. ATENCION AL PUBLICO. TAMBIEN ES UN KIOSCO,ATENCION AL PUBLICO,"VENDE ROPA, ATIENDE AL PUBLICO, ORDENA Y LIMPIA EL PUESTO",SOLO ELEMENTOS DE LIMPIEZA Y MANEJO DE DINERO. CAJA
757,"EDUCACION FORMAL, ESCUELA ADVENTISTA (JARDIN, PRIMARIA Y SECUNDARIA)",DOCENTE Y PRECEPTORA,VIGILANCIA DE NIÑOS. ENSEÑANZA PRIMARIA. PRECEPTORA. ADMINISTRACION DOCUMENTACION,"PC, UTILES DIDACTICOS"
761,"CUIDADO DE NIÑOS, NIÑERA EN SU CASA",NIÑERA,"CUIDADO DE NIÑOS, AYUDA EN SUS TAREAS, DARLES DE COMER","ELEMENTOS DE COCINA, UTILES"
767,EMPRESA TRANSPORTES,SERENO CUIDADO,"CUIDADO LIMPIEZA ORDEN DEL TERRENO, VIGILA ENTRADA Y SALIDA DE VEHICULOS","ESCOBILLON, RASTRILLO, TRAPOS,"
769,ESTIBAJE PORTUARIO,ESTIBADOR,CARGA Y DESCARGA DE BUQUES PESQUEROS,ES UN TRABAJO MANUAL
775,SERVICIO DE COSTURAS Y SERVICIO DE COMIDAS,COSTURERA Y COCINERA (DULCE Y SALADO),DIRIGE A LA GENTE ENCARGADO DE AMPLIAR LAS REDES DE CLOACAS,"CAMION, CAMIONETA"
776,GRUPO MUSICAL DE CUMBIA,MUSICO,"CAMBIA CIERRES, PARCHES, HACE DOBLADILLOS. AMASA PAN, TORTA FRITAS, ETC","MAQUINA DE COSER. COCINA INDUSTRIAL, MANOS"
781,"PLANTA PESQUERA, PROCESADORA DE PESCADO",CLASIFICADOR DE PESCADO POR TAMAÑO,CLASIFICO Y ENVASA EN CAJAS,MANUAL
785,"SERVICIO GASTRONOMICO, COCINA DULCE",COCINERA,"COCINA DE PANES, FACTURAS. HORNEAR, FREIR, AMASAR","HORNO, PASTALINDA, MANOS"
790,REPARACION MECANICA DE FLOTA LIVIANA Y PESADA,MECANICO DE AUTOS Y CAMIONES,"REPARACIONES DE MOTORES, TREN DELANTERO, CAJAS DE CAMBIO","AMOLADORA, AGUJEREADORA, SOLDADORA, LLAVES, CRIQUET, PINZAS"
800,MONITOREA DISTINTOS SECTORES DE LA CIUDAD A TRAVES DE CAMARAS. CENTRO DE MONITOREO,CONTROLADOR O MONITOREO,CONTROLA LOS MONITORES Y LAS MAQUINAS QUE CONTROLAN LAS CAMARAS,MONITORES Y MAQUINAS
808,UNIVERSIDAD PUBLICA,DOCENTE,DOCENCIA,
809,VENTA DE INSUMOS PARA TRANSPORTE PESADO,"REPRESENTANTE, VIAJANTE",VENTA DE INSUMOS,"AUTOMOVIL, PC"
811,"BIBLIOTECARIA, ESC PUBLICA",BIBLIOTECARIA,"PRESTAMO, ASESORAMIENTO DE LIBROS, CAPACITACION","PC, HERRAMIENTAS DE INFORMATICA"
815,PRODUCCION DE LADRILLOS REFRACTARIOS,SUPERVISOR DE PRODUCCION,SUPERVISION DE PRODUCCION/VENTAS/PROVEEDORES,INFORMATICAS
816,DOCENTE E INVESTIGADORA,PROFESORA,DOCENCIA E INVESTIGACION,"PC, DOCUMENTOS"
819,PUESTERO DE CAMPO/CUIDAR ANIMALES,PUESTERO,"CUIDAR ANIMALES, CUIDAR LA CASA, TRABAJO DEL CAMPO","MOLINO, REMEDIOS"
820,DOMICILIOS PARTICULARES,MAESTRO - ALBAÑIL (OFICIAL EN EMPRESA DE CONSTRUCCION),"TAREAS DE CONSTRUCCION DE CASAS (EXTERIOR, INTERIOR)","*** HORMIGONERA, ALAMBRE, GUANTES, CARRETILLAS"
822,DOMICILIOS PARTICULARES,ALBAÑIL (OFICIAL ALBAÑIL),"PEGAR LADRILLOS, PREPARAR MEZCLA","FLETADO, MAQUINA, HORMIGONERA, BALDES, CUCHARA, BRAZOS"
823,PRODUCE PAN Y PRODUCTOS DE PANADERIA Y REPOSTERIA,ATENCION AL CLIENTE EN GENERAL,ATENDIA DE PUBLICO EN GRAL LOCAL DE PANADERIA,"PINZAS, GUANTES, FILM, PAPEL DE ENVOLTURAS"
832,CASA PARTICULAR,EMPLEADA DOMESTICA,ESCOBA. EMPLEADA DOMESTICA,"ARTICULOS DE LIMPIEZA, LAMPAZOS, GUANTES"
834,REGALERIA DE COMERCIO,EMPLEADA DE COMERCIO,ATENDIA AL PUBLICO EN GRAL,SOLO ATENCION EN GRAL
841,MUNICIPIO DE CAUCETE,OBRERO MUNICIPAL,CHOFER DE CAMIONETA OFICIAL DEL MUNICIPIO,"CAMIONETA, Y OTROS VEHICULOS DEL MUNICIPIO"
843,HOTELES DE SAN JUAN,RECEPCIONISTA DE HOTELES,ATENDIA LOS CLIENTES EN RECEPCION Y CARGA LAS MALETAS,UTILIZA CARROS MOVILES PARA TRASLADAR LAS MALETAS
851,"FINCA, PRODUCCION DE VIDES PARA VINIFICAR","PODADOR, RALEADO (JORNALERO TEMPORAL)",***PODA DE LOS PARRALES Y DE LOS MISMOS SOLO ANTES DE LA COSECHA,"TIJERAS, GUANTES, TOTORA PLASTICA"
852,FINCA DE VIDES,JORNALERO,"COSECHA, PODA, ARMADO DE PARRALES","GUANTES, GAMELA, GUINDERA, TIJERAS"
874,EDUCACION SUPERIOR UNIVERSITARIA,DOCENTE,ENSEÑANZA DE CONTENIDOS DE INGENIERIA CIVIL,"PIZARRA, MARCADORES, PC, UTILES VARIOS (HOJAS, LAPICERAS)"
888,PROVISION DE INSUMOS PARA INDUSTRIAS,COMERCIANTE,COMPRA Y VENTA DE INSUMOS,"COMPUTADORA, TICKETEADORA, PAPEL, CAJA REGISTRADORA"
